Event #,Value only in LPC
Event 138712468,-0.128341
Event 138712481,0.547275
Event 138712459,-0.398557
Event 138712494,2.3469
Event 138712447,-0.776952
Event 138712475,1.23932
Event 138712514,2.38838
Event 138712526,2.98847
Event 138712483,2.0952
Event 138712542,3.0052
Event 138712537,0.303424
Event 138712467,-2.8168
Event 138712541,0.140917
Event 138712484,-2.62659
Event 138712543,-1.58862
Event 138712562,2.66124
Event 138712510,-3.07893
Event 138712544,2.06028
Event 138712482,-0.806824
Event 138712561,-0.958449
Event 138712566,2.3034
Event 138712580,2.08398
Event 138712532,0.632703
Event 138712594,1.88978
Event 138712584,1.62553
Event 138712602,2.64064
Event 138712598,1.33858
Event 138712556,-2.98133
Event 138712600,-3.08164
Event 138712599,-0.074749
Event 138712595,1.26405
Event 138712575,1.7177
Event 138712563,2.38607
Event 138712603,-1.17643
Event 138712614,1.89546
Event 138712618,-1.82139
Event 138712606,-2.66886
Event 138712631,-2.25996
Event 138712625,-1.39064
Event 138712615,-1.42033
Event 138712607,-1.49056
Event 138712577,0.869813
Event 138712642,-1.23359
Event 138712589,0.934343
Event 138712639,-1.37861
Event 138712652,2.24579
Event 138712650,0.355163
Event 138712662,-1.47951
Event 138712653,3.07703
Event 138712656,2.57881
Event 138712641,-2.65915
Event 138712622,-2.81017
Event 138712689,0.956789
Event 138712626,0.595495
Event 138712672,2.63581
Event 138712648,2.96604
Event 138712697,1.96958
Event 138712705,-0.573732
Event 138712720,3.06406
Event 138712692,-0.790871
Event 138712694,-3.01754
Event 138712729,-2.29915
Event 138712710,2.11521
Event 138712685,2.11099
Event 138712691,-1.80725
Event 138712716,-0.120318
Event 138712738,2.11564
Event 138712730,0.825871
Event 138712760,2.02767
Event 138712754,-0.827544
Event 138712687,-2.21962
Event 138712756,2.136
Event 138712728,-1.18902
Event 138712777,-1.72364
Event 138712770,1.19622
Event 138712791,1.10673
Event 138712731,2.03071
Event 138712782,2.03704
Event 138712778,0.259627
Event 138712745,2.69218
Event 138712788,-0.520987
Event 138712795,-0.122507
Event 138712764,2.50213
Event 138712808,1.93574
Event 138712751,1.01957
Event 138712772,0.26639
Event 138712826,0.837768
Event 138712828,-1.82789
Event 138712816,3.05163
Event 138712843,1.44899
Event 138712769,0.198111
Event 138712858,1.01134
Event 138712840,-0.963671
Event 138712874,-2.45836
Event 138712844,-1.60175
Event 138712824,-1.36723
Event 138712859,0.637091
Event 138712845,-2.59716
Event 138712885,2.02618
Event 138712860,0.153944
Event 138712884,-0.662102
Event 138712849,-1.95804
Event 138712809,0.200847
Event 138712855,-1.25519
Event 138712894,0.861392
Event 138712929,-0.502904
Event 138712905,2.99053
Event 138712908,2.05371
Event 138712892,-0.158824
Event 138712928,3.00427
Event 138712900,-2.97219
Event 138712931,-0.831611
Event 138712901,0.715084
Event 138712787,2.62599
Event 138712945,-2.0622
Event 138712962,0.834193
Event 138712947,2.6827
Event 138712932,-0.541566
Event 138712957,0.941042
Event 138712946,-0.877497
Event 138712969,2.20325
Event 138712974,0.784612
Event 138712927,1.53315
Event 138712984,-0.307622
Event 138712971,2.68637
Event 138713006,2.96253
Event 138712955,2.7595
Event 138712978,-1.01125
Event 138713009,-1.66044
Event 138712996,-2.9466
Event 138713004,1.00617
Event 138712896,1.78039
Event 138712893,0.885519
Event 138713023,-2.60396
Event 138712973,2.28213
Event 138713033,-1.33036
Event 138712995,1.77777
Event 138713014,-0.853773
Event 138713047,-1.94128
Event 138713038,-0.0599623
Event 138713046,-0.966794
Event 138713026,-0.411744
Event 138713028,3.01757
Event 138713016,-2.93901
Event 138713060,-1.55148
Event 138713051,-2.63956
Event 138713055,-0.316093
Event 138713072,-0.855538
Event 138713092,1.6903
Event 138713063,-3.08799
Event 138713086,3.09897
Event 138712990,-0.415326
Event 138713064,-2.22162
Event 138713021,-0.475791
Event 138713115,0.0844919
Event 138713085,-1.42358
Event 138713082,-0.621523
Event 138713077,0.987108
Event 138713123,0.68496
Event 138713136,2.23931
Event 138713139,1.20815
Event 138713067,2.61376
Event 138713125,2.2452
Event 138713087,1.33879
Event 138713089,-0.291718
Event 138713143,-2.58502
Event 138713156,-3.05484
Event 138713168,-0.843329
Event 138713117,-2.59566
Event 138713142,0.940544
Event 138713119,0.684854
Event 138713150,-3.11738
Event 138713183,-2.94981
Event 138713184,2.75781
Event 138713200,0.834388
Event 138713124,2.36093
Event 138713186,2.86887
Event 138713178,0.949833
Event 138713202,-0.911955
Event 138713197,-0.0414168
Event 138713179,2.07114
Event 138713162,1.83037
Event 138713212,-2.10935
Event 138713219,-0.196938
Event 138713174,1.11445
Event 138713207,1.20992
Event 138713220,2.58319
Event 138713246,-0.39659
Event 138713208,1.71406
Event 138713237,1.17237
Event 138713222,1.14426
Event 138713242,-2.53219
Event 138713255,2.90216
Event 138713236,3.13523
Event 138713245,-1.74189
Event 138713235,0.608691
Event 138713240,2.3642
Event 138713221,-1.0581
Event 138713265,1.3534
Event 138713271,1.06837
Event 138713281,-0.204596
Event 138713258,-2.25341
Event 138713301,-1.336
Event 138713252,1.19202
Event 138713278,-0.456939
Event 138713287,-0.381629
Event 138713305,-1.52547
Event 138713303,1.46632
Event 138713309,1.20047
Event 138713268,2.60228
Event 138713314,-2.63931
Event 138713254,-0.0694817
Event 138713345,-0.56239
Event 138713325,-2.51438
Event 138713112,0.991668
Event 138713324,-2.16248
Event 138713277,-2.77458
Event 138713344,-1.91168
Event 138713327,2.08667
Event 138713352,0.686537
Event 138713312,2.99563
Event 138713304,2.4198
Event 138713288,1.04609
Event 138713375,0.334992
Event 138713384,0.267582
Event 138713357,-1.02318
Event 138713390,-1.77892
Event 138713383,-1.0532
Event 138713389,-1.04471
Event 138713393,1.71022
Event 138713406,2.21552
Event 138713409,2.7077
Event 138713355,2.90329
Event 138713400,-0.7362
Event 138713405,2.66366
Event 138713407,2.4231
Event 138713328,1.86014
Event 138713424,1.87502
Event 138713436,-3.04595
Event 138713386,-0.157899
Event 138713425,-0.327985
Event 138713426,-1.22587
Event 138713417,2.76576
Event 138713438,2.02577
Event 138713444,2.08166
Event 138713462,-1.67839
Event 138713465,-1.36699
Event 138713451,-2.5498
Event 138713408,2.92119
Event 138713469,2.41343
Event 138713453,2.81299
Event 138713480,-2.62291
Event 138713478,-0.270654
Event 138713434,-1.55475
Event 138713510,-1.62252
Event 138713494,-2.9765
Event 138713500,-1.10858
Event 138713486,2.01952
Event 138713531,2.76003
Event 138713534,2.12153
Event 138713516,2.0336
Event 138713446,-2.60027
Event 138713513,-2.95491
Event 138713537,3.12342
Event 138713427,2.34547
Event 138713544,2.26728
Event 138713551,1.0084
Event 138713496,2.25509
Event 138713514,2.95119
Event 138713569,0.937917
Event 138713532,2.37657
Event 138713565,0.594497
Event 138713567,-1.30271
Event 138713580,1.38948
Event 138713581,3.09883
Event 138713558,1.84569
Event 138713572,-0.223633
Event 138713539,2.89605
Event 138713573,-2.84097
Event 138713546,-1.22017
Event 138713582,2.95883
Event 138713598,2.81112
Event 138713605,0.0614481
Event 138713590,-0.655196
Event 138713612,2.69253
Event 138713594,1.05879
Event 138713639,-2.85636
Event 138713583,-2.07386
Event 138713634,0.12037
Event 138713653,0.655524
Event 138713628,-2.95525
Event 138713629,-2.80115
Event 138713610,2.97029
Event 138713604,-1.91683
Event 138713680,2.74588
Event 138713658,-1.18435
Event 138713686,0.952992
Event 138713615,-0.650214
Event 138713664,-1.62323
Event 138713657,-1.50896
Event 138713682,1.10034
Event 138713713,2.70831
Event 138713725,0.951901
Event 138713720,-0.976912
Event 138713645,1.59766
Event 138713711,2.70022
Event 138713676,-2.59982
Event 138713741,-3.0284
Event 138713755,-0.0516693
Event 138713693,-3.05032
Event 138713788,1.3026
Event 138713753,-0.576767
Event 138713732,2.83232
Event 138713779,-3.02127
Event 138713775,-2.03055
Event 138713737,-2.11016
Event 138713756,-2.77038
Event 138713697,0.872036
Event 138713800,2.04026
Event 138713747,-1.38308
Event 138713759,2.42511
Event 138713828,-2.04006
Event 138713845,-0.579683
