Event #,Value only in LPC
Event 138712468,104.089
Event 138712481,83.4833
Event 138712459,42.4131
Event 138712494,20.227
Event 138712447,13.5632
Event 138712475,84.815
Event 138712514,120.476
Event 138712526,51.4017
Event 138712483,102.457
Event 138712542,60.3988
Event 138712537,19.808
Event 138712467,18.728
Event 138712541,65.7761
Event 138712484,64.9275
Event 138712543,61.0367
Event 138712562,108.968
Event 138712510,99.4916
Event 138712544,84.7141
Event 138712482,101.963
Event 138712561,53.4579
Event 138712566,142.817
Event 138712580,47.7112
Event 138712532,118.1
Event 138712594,101.752
Event 138712584,123.856
Event 138712602,108.892
Event 138712598,23.0397
Event 138712556,128.145
Event 138712600,77.6818
Event 138712599,96.884
Event 138712595,62.0727
Event 138712575,68.1268
Event 138712563,179.697
Event 138712603,70.3979
Event 138712614,58.5115
Event 138712618,77.3087
Event 138712606,95.7702
Event 138712631,87.0373
Event 138712625,34.364
Event 138712615,38.3385
Event 138712607,82.7306
Event 138712577,14.1623
Event 138712642,68.6226
Event 138712589,196.735
Event 138712639,43.8208
Event 138712652,132.768
Event 138712650,54.2339
Event 138712662,61.278
Event 138712653,42.6198
Event 138712656,28.0571
Event 138712641,123.755
Event 138712622,84.2914
Event 138712689,65.7076
Event 138712626,61.2198
Event 138712672,99.913
Event 138712648,181.509
Event 138712697,117.78
Event 138712705,66.7995
Event 138712720,129.374
Event 138712692,31.7556
Event 138712694,14.8818
Event 138712729,47.3219
Event 138712710,95.0625
Event 138712685,129.427
Event 138712691,79.6127
Event 138712716,107.717
Event 138712738,41.4806
Event 138712730,37.0858
Event 138712760,60.2962
Event 138712754,78.5298
Event 138712687,26.5469
Event 138712756,66.8237
Event 138712728,84.0301
Event 138712777,91.3749
Event 138712770,96.5545
Event 138712791,46.0897
Event 138712731,30.632
Event 138712782,42.6845
Event 138712778,51.7235
Event 138712745,71.3228
Event 138712788,35.631
Event 138712795,13.6447
Event 138712764,90.4111
Event 138712808,78.721
Event 138712751,242.86
Event 138712772,41.7518
Event 138712826,22.4686
Event 138712828,149.798
Event 138712816,137.944
Event 138712843,117.678
Event 138712769,89.703
Event 138712858,73.8268
Event 138712840,99.7506
Event 138712874,20.3656
Event 138712844,70.7697
Event 138712824,83.0625
Event 138712859,26.8002
Event 138712845,98.0571
Event 138712885,72.8037
Event 138712860,59.5778
Event 138712884,97.1782
Event 138712849,90.9659
Event 138712809,57.2138
Event 138712855,24.0679
Event 138712894,128.592
Event 138712929,48.4191
Event 138712905,44.6932
Event 138712908,33.4792
Event 138712892,13.1892
Event 138712928,15.1427
Event 138712900,50.7074
Event 138712931,105.132
Event 138712901,48.5614
Event 138712787,34.5729
Event 138712945,74.9023
Event 138712962,132.048
Event 138712947,143.866
Event 138712932,23.2154
Event 138712957,65.0481
Event 138712946,78.8286
Event 138712969,42.1159
Event 138712974,78.268
Event 138712927,115.18
Event 138712984,45.1339
Event 138712971,41.8059
Event 138713006,28.5408
Event 138712955,19.6366
Event 138712978,199.453
Event 138713009,115.944
Event 138712996,20.439
Event 138713004,86.0213
Event 138712896,65.0932
Event 138712893,37.0155
Event 138713023,114.23
Event 138712973,106.015
Event 138713033,45.2515
Event 138712995,32.1653
Event 138713014,53.4382
Event 138713047,47.8903
Event 138713038,205.035
Event 138713046,16.3459
Event 138713026,44.5621
Event 138713028,74.213
Event 138713016,103.268
Event 138713060,77.4837
Event 138713051,91.8176
Event 138713055,27.2686
Event 138713072,65.791
Event 138713092,137.888
Event 138713063,61.9132
Event 138713086,81.7729
Event 138712990,72.339
Event 138713064,20.564
Event 138713021,80.1977
Event 138713115,19.3593
Event 138713085,144.537
Event 138713082,28.8483
Event 138713077,51.798
Event 138713123,58.5788
Event 138713136,45.0689
Event 138713139,130.597
Event 138713067,29.7217
Event 138713125,75.2798
Event 138713087,209.978
Event 138713089,35.0347
Event 138713143,91.0694
Event 138713156,40.46
Event 138713168,117.915
Event 138713117,54.9672
Event 138713142,8.78959
Event 138713119,17.9433
Event 138713150,31.0506
Event 138713183,17.884
Event 138713184,31.723
Event 138713200,51.2111
Event 138713124,102.265
Event 138713186,80.0845
Event 138713178,168.512
Event 138713202,34.3219
Event 138713197,83.5837
Event 138713179,108.804
Event 138713162,59.0134
Event 138713212,87.3835
Event 138713219,65.3432
Event 138713174,60.599
Event 138713207,63.8415
Event 138713220,55.3089
Event 138713246,105.751
Event 138713208,98.139
Event 138713237,94.542
Event 138713222,199.496
Event 138713242,26.842
Event 138713255,21.463
Event 138713236,36.6149
Event 138713245,90.1811
Event 138713235,217.907
Event 138713240,67.3981
Event 138713221,63.2396
Event 138713265,32.2643
Event 138713271,106.109
Event 138713281,130.16
Event 138713258,109.185
Event 138713301,97.0463
Event 138713252,136.645
Event 138713278,113.029
Event 138713287,83.6783
Event 138713305,45.2233
Event 138713303,40.85
Event 138713309,105.602
Event 138713268,50.4539
Event 138713314,93.0648
Event 138713254,64.5292
Event 138713345,63.8803
Event 138713325,40.3328
Event 138713112,125.428
Event 138713324,40.9354
Event 138713277,80.791
Event 138713344,84.8759
Event 138713327,100.198
Event 138713352,87.3247
Event 138713312,57.4625
Event 138713304,236.487
Event 138713288,114.884
Event 138713375,31.0597
Event 138713384,44.3081
Event 138713357,17.012
Event 138713390,39.0148
Event 138713383,41.565
Event 138713389,35.0146
Event 138713393,73.6424
Event 138713406,24.6083
Event 138713409,9.75157
Event 138713355,45.1217
Event 138713400,22.0079
Event 138713405,45.1355
Event 138713407,99.4276
Event 138713328,38.4309
Event 138713424,61.1008
Event 138713436,82.6917
Event 138713386,26.4233
Event 138713425,62.5621
Event 138713426,105.663
Event 138713417,28.9312
Event 138713438,88.7692
Event 138713444,73.9892
Event 138713462,47.9224
Event 138713465,96.0201
Event 138713451,120.813
Event 138713408,102.43
Event 138713469,28.5245
Event 138713453,8.66393
Event 138713480,127.633
Event 138713478,4.45815
Event 138713434,18.393
Event 138713510,77.6187
Event 138713494,89.9337
Event 138713500,19.432
Event 138713486,65.8862
Event 138713531,23.6478
Event 138713534,32.4877
Event 138713516,81.2897
Event 138713446,186.412
Event 138713513,114.904
Event 138713537,48.5679
Event 138713427,143.822
Event 138713544,142.167
Event 138713551,75.8838
Event 138713496,165.282
Event 138713514,63.6148
Event 138713569,95.4546
Event 138713532,27.2247
Event 138713565,35.7651
Event 138713567,28.6869
Event 138713580,59.7291
Event 138713581,49.4562
Event 138713558,82.3956
Event 138713572,82.6962
Event 138713539,45.6551
Event 138713573,9.97406
Event 138713546,191.101
Event 138713582,72.2811
Event 138713598,89.0039
Event 138713605,25.2297
Event 138713590,165.34
Event 138713612,123.631
Event 138713594,16.2616
Event 138713639,20.8465
Event 138713583,32.3276
Event 138713634,65.9749
Event 138713653,153.165
Event 138713628,147.944
Event 138713629,60.1722
Event 138713610,106.326
Event 138713604,98.5387
Event 138713680,118.857
Event 138713658,132.046
Event 138713686,66.5712
Event 138713615,31.9173
Event 138713664,112.826
Event 138713657,47.4673
Event 138713682,113.712
Event 138713713,107.185
Event 138713725,45.5709
Event 138713720,7.42572
Event 138713645,107.695
Event 138713711,16.6828
Event 138713676,235.085
Event 138713741,62.1559
Event 138713755,131.735
Event 138713693,43.8116
Event 138713788,64.5187
Event 138713753,14.0805
Event 138713732,131.644
Event 138713779,21.3835
Event 138713775,145.432
Event 138713737,213.682
Event 138713756,93.9806
Event 138713697,50.3369
Event 138713800,36.22
Event 138713747,80.1031
Event 138713759,40.176
Event 138713828,66.146
Event 138713845,128.098
Event 138713816,52.9301
Event 138713826,71.9128
Event 138713843,76.096
Event 138713811,72.0203
Event 138713782,139.22
Event 138713760,23.0233
Event 138713852,112.74
Event 138713855,117.562
Event 138713869,28.4431
Event 138713870,11.2962
Event 138713862,71.6266
Event 138713872,42.8998
Event 138713889,51.3536
Event 138713859,29.5852
Event 138713832,37.0647
Event 138713837,103.76
Event 138713888,120.648
Event 138713873,132.797
Event 138713874,69.7141
Event 138713892,60.5035
Event 138713901,26.1001
Event 138713729,244.222
Event 138713909,61.5873
Event 138713903,33.7759
Event 138713912,122.483
Event 138713880,634.938
Event 138713896,25.9823
Event 138713914,92.4085
Event 138713928,111.786
Event 138713918,31.9828
Event 138713945,87.1334
Event 138713931,21.3478
Event 138713934,62.8116
Event 138713879,101.113
Event 138713955,135.485
Event 138713966,53.5815
Event 138713968,34.3914
Event 138713973,81.0141
Event 138713940,77.5838
Event 138713963,101.561
Event 138713829,145.497
Event 138713916,129.541
Event 138713982,38.3925
Event 138713992,43.5696
Event 138714045,19.59
Event 138714022,93.0596
Event 138714001,59.1855
Event 138713986,96.517
Event 138714027,54.357
Event 138714035,100.294
Event 138714043,34.5523
Event 138714072,24.4008
Event 138714018,101.336
Event 138714068,96.2609
Event 138714069,82.1902
Event 138714070,91.1031
Event 138713972,61.3723
Event 138714084,3.82033
Event 138714053,18.7186
Event 138714083,55.4003
Event 138714111,80.9476
Event 138713993,111.806
Event 138714058,75.813
Event 138714114,115.67
Event 138714085,172.788
Event 138714110,64.0681
Event 138714076,101.486
Event 138714124,113.264
Event 138714120,103.711
Event 138714113,47.0059
Event 138714026,94.4083
Event 138714145,112.675
Event 138714138,103.947
Event 138714146,45.8224
Event 138714136,148.65
Event 138714152,26.8108
Event 138714155,97.0014
Event 138714143,153.28
Event 138714172,45.1593
Event 138714144,35.2078
Event 138714153,82.928
Event 138714199,75.6252
Event 138714162,26.4332
Event 138714200,67.81
Event 138714154,79.6708
Event 138714194,98.4162
Event 138714128,89.0313
Event 138714151,18.6633
Event 138714234,118.819
Event 138714195,107.594
Event 138714227,94.524
Event 138714245,50.7341
Event 138714206,177.894
Event 138714263,69.0413
Event 138714239,85.2099
Event 138714273,90.8138
Event 138714287,163.533
Event 138714253,29.59
Event 138714309,87.4114
Event 138714333,45.6753
Event 138714223,33.204
Event 138714259,12.399
Event 138714305,97.4129
Event 138714265,53.966
Event 138714246,30.4957
Event 138714320,68.0365
Event 138714292,162.334
Event 138714344,63.0492
Event 138714313,63.8961
Event 138714341,162.141
Event 138714312,99.9886
Event 138714357,159.051
Event 138714340,133.894
Event 138714343,42.6637
Event 138714311,207.345
Event 138714390,81.7566
Event 138714388,34.2673
Event 138714348,56.3892
Event 138714362,79.3523
Event 138714395,35.0755
Event 138714403,134.639
Event 138714369,35.1695
Event 138714392,6.22541
Event 138714414,77.7582
Event 138714380,51.2572
Event 138714404,29.6909
Event 138714444,97.2269
Event 138714427,63.939
Event 138714425,49.4206
Event 138714391,104.968
Event 138714430,140.123
Event 138714443,64.7742
Event 138714431,94.8199
Event 138714481,53.832
Event 138714456,62.6302
Event 138714473,59.6676
Event 138714500,37.1109
Event 138714400,169.615
Event 138714441,81.5518
Event 138714477,27.9248
Event 138714466,102.899
Event 138714508,115.835
Event 138714356,20.2429
Event 138714505,80.744
Event 138714421,83.5095
Event 138714539,39.1761
Event 138714521,51.533
Event 138714528,76.531
Event 138714498,61.9764
Event 138714526,60.4136
Event 138714509,71.6376
Event 138714489,78.8654
Event 138714518,311.453
Event 138714565,40.2368
Event 138714529,6.50242
Event 138714579,52.5375
Event 138714540,8.40265
Event 138714531,58.7209
Event 138714584,48.0007
Event 138714555,52.4519
Event 138714558,23.0184
Event 138714585,94.0939
Event 138714582,114.586
Event 138714576,96.6135
Event 138714562,114.982
Event 138714610,2.00508
Event 138714609,40.5051
Event 138714597,48.3289
Event 138714544,91.1073
Event 138714590,55.8821
Event 138714622,125.312
Event 138714598,30.3217
Event 138714616,33.785
Event 138714593,106.762
Event 138714629,104.082
Event 138714615,153.535
Event 138714573,71.7337
Event 138714618,22.8338
Event 138714631,7.79436
Event 138714569,27.4766
Event 138714627,64.7668
Event 138714680,21.1477
Event 138714642,33.4779
Event 138714644,67.9291
Event 138714667,38.0115
Event 138714649,39.3888
Event 138714643,93.2356
Event 138714665,129.602
Event 138714683,120.271
Event 138714682,4.07498
Event 138714706,28.6129
Event 138714641,66.095
Event 138714693,54.9451
Event 138714730,24.7896
Event 138714714,82.8122
Event 138714681,90.9865
Event 138714735,66.7767
Event 138714687,42.5848
Event 138714721,60.0344
Event 138714727,121.04
Event 138714720,56.896
Event 138714742,140.411
Event 138714737,52.9523
Event 138714736,89.984
Event 138714725,100.915
Event 138714743,49.4588
Event 138714701,64.5547
Event 138714765,60.8319
Event 138714748,73.4
Event 138714750,17.1767
Event 138714739,98.3916
Event 138714770,32.9901
Event 138714779,29.7329
Event 138714768,44.9624
Event 138714759,54.3358
Event 138714752,113.63
Event 138714787,42.0365
Event 138714802,91.2355
Event 138714757,143.436
Event 138714793,144.99
Event 138714824,84.5164
Event 138714808,87.3414
Event 138714792,92.2198
Event 138714814,133.423
Event 138714819,22.1671
Event 138714822,117.67
Event 138714827,44.6281
Event 138714815,143.978
Event 138714812,112.774
Event 138714826,109.413
Event 138714755,41.1676
Event 138714825,92.8691
Event 138714831,92.3138
Event 138714845,78.1229
Event 138714799,34.9702
Event 138714844,96.196
Event 138714851,56.905
Event 138714857,66.8529
Event 138714852,59.0765
Event 138714861,75.1741
Event 138714873,93.184
Event 138714850,56.4629
Event 138714894,54.4505
Event 138714869,66.6619
Event 138714882,76.0041
Event 138714876,44.4613
Event 138714887,222.206
Event 138714908,65.3983
Event 138714885,176.939
Event 138714867,191.197
Event 138714881,52.5389
Event 138714896,185.217
Event 138714913,187.576
Event 138714919,50.2062
Event 138714934,83.4978
Event 138714937,93.9646
Event 138714931,134.707
Event 138714933,92.6462
Event 138714952,65.4438
Event 138714895,80.1132
Event 138714938,91.6211
Event 138714943,49.7207
Event 138714963,67.4959
Event 138714978,243.283
Event 138715000,24.7635
Event 138714966,33.3925
Event 138714917,46.3696
Event 138714992,36.5739
Event 138714990,45.3858
Event 138714941,13.6874
Event 138715016,85.8294
Event 138715006,73.9553
Event 138715004,56.7418
Event 138715001,61.7838
Event 138715025,61.864
Event 138715020,39.9005
Event 138715003,95.8296
Event 138714970,81.8647
Event 138715007,162.782
Event 138715049,29.3816
Event 138715058,47.6274
Event 138715019,102.453
Event 138715026,78.2534
Event 138715060,30.6668
Event 138715052,33.8268
Event 138715012,215.521
Event 138715035,32.0147
Event 138715061,78.5388
Event 138715070,30.7809
Event 138715062,63.138
Event 138715082,25.8611
Event 138715057,75.4426
Event 138715048,45.9498
Event 138715065,15.4864
Event 138715095,115.833
Event 138715073,84.6514
Event 138715068,71.6734
Event 138715094,55.0365
Event 138715102,26.708
Event 138715090,40.0947
Event 138715116,102.131
Event 138715112,53.9891
Event 138715053,35.3905
Event 138715081,60.6244
Event 138715108,71.2919
Event 138715113,19.9978
Event 138715119,197.078
Event 138715083,61.6999
Event 138715146,90.0524
Event 138715123,79.704
Event 138715143,37.3881
Event 138715128,57.2167
Event 138715130,115.09
Event 138715118,14.1586
Event 138715154,72.014
Event 138715157,8.48328
Event 138715151,89.1927
Event 138715132,30.6159
Event 138715139,36.199
Event 138715147,43.2613
Event 138715192,15.5269
Event 138715175,144.756
Event 138715178,29.261
Event 138715131,147.982
Event 138715150,37.6702
Event 138715197,68.9703
Event 138715160,65.0234
Event 138715162,141.329
Event 138715189,104.946
Event 138715184,118.213
Event 138715193,70.301
Event 138715198,69.3501
Event 138715212,110.053
Event 138715227,46.9976
Event 138715235,120.558
Event 138715223,185.182
Event 138715213,171.647
Event 138715248,85.2578
Event 138715233,68.3208
Event 138715249,16.4068
Event 138715239,49.2742
Event 138715215,25.5635
Event 138715257,103.8
Event 138715260,103.675
Event 138715272,91.4393
Event 138715269,81.7367
Event 138715273,81.5582
Event 138715266,32.5279
Event 138715229,14.3109
Event 138715292,137.732
Event 138715296,10.1852
Event 138715313,198.592
Event 138715286,54.609
Event 138715283,37.9558
Event 138715303,64.7484
Event 138715318,113.488
Event 138715315,11.0393
Event 138715350,87.0373
Event 138715325,62.6853
Event 138715332,84.0644
Event 138715367,96.9007
Event 138715319,85.7577
Event 138715320,58.9231
Event 138715382,66.8324
Event 138715360,33.5017
Event 138715381,68.1495
Event 138715368,9.15532
Event 138715388,174.402
Event 138715293,29.6078
Event 138715392,88.2412
Event 138715429,31.2233
Event 138715419,52.6494
Event 138715432,69.8749
Event 138715424,105.945
Event 138715387,21.5568
Event 138715447,55.1457
Event 138715335,132.321
Event 138715436,147.218
Event 138715383,84.5909
Event 138715410,23.4562
Event 138715430,127.426
Event 138715439,59.3999
Event 138715452,55.7432
Event 138715435,27.3509
Event 138715463,40.415
Event 138715431,137.208
Event 138715453,148.493
Event 138715503,39.4567
Event 138715481,17.2161
Event 138715474,61.8628
Event 138715518,81.892
Event 138715498,71.4611
Event 138715512,42.1978
Event 138715527,118.745
Event 138715471,88.4428
Event 138715466,62.6615
Event 138715523,117.527
Event 138715533,17.6681
Event 138715544,92.3859
Event 138715555,50.5376
Event 138715560,12.4049
Event 138715535,62.938
Event 138715558,33.9167
Event 138715566,95.6183
Event 138715458,16.2771
Event 138715556,25.171
Event 138715534,38.9785
Event 138715563,97.3587
Event 138715572,83.2689
Event 138715552,82.4446
Event 138715478,206.547
Event 138715577,114.325
Event 138715564,34.9006
Event 138715587,57.19
Event 138715606,140.571
Event 138715567,74.6409
Event 138715585,72.4355
Event 138715603,22.9351
Event 138715537,202.943
Event 138715600,502.433
Event 138715626,162.993
Event 138715618,116.787
Event 138715602,98.6429
Event 138715631,45.944
Event 138715574,16.7063
Event 138715622,50.3917
Event 138715635,93.0348
Event 138715638,181.691
Event 138715637,36.4049
Event 138715613,81.2519
Event 138715644,88.4974
Event 138715641,70.3095
Event 138715608,52.5265
Event 138715645,88.2937
Event 138715660,43.5707
Event 138715647,103.97
Event 138715657,61.6203
Event 138715665,36.2356
Event 138715672,90.3715
Event 138715648,95.2632
Event 138715653,67.5774
Event 138715667,56.5375
Event 138715673,17.9773
Event 138715677,55.9269
Event 138715680,51.7786
Event 138715646,57.2148
Event 138715633,144.524
Event 138715699,70.1138
Event 138715674,17.2673
Event 138715708,78.2551
Event 138715706,132.548
Event 138715702,159.557
Event 138715686,28.5676
Event 138715721,102.51
Event 138715707,31.9987
Event 138715724,57.2122
Event 138715711,103.249
Event 138715738,84.6139
Event 138715723,80.4801
Event 138715752,60.4178
Event 138715726,26.0257
Event 138715739,64.5709
Event 138715740,82.0151
Event 138715744,118.195
Event 138715762,65.8059
Event 138715712,56.9961
Event 138715747,76.9506
Event 138715760,68.8331
Event 138715732,57.2324
Event 138715791,102.473
Event 138715783,7.4397
Event 138715777,102.102
Event 138715805,39.5768
Event 138715755,121.187
Event 138715759,126.349
Event 138715810,126.784
Event 138715808,77.3574
Event 138715827,29.2543
Event 138715794,54.0848
Event 138715811,56.7732
Event 138715809,75.886
Event 138715824,157.112
Event 138715796,21.2114
Event 138715860,100.229
Event 138715750,130.757
Event 138715859,73.7984
Event 138715826,77.6399
Event 138715867,17.6868
Event 138715864,227.723
Event 138715773,128.24
