Event #,Value only in UCSB
Event 138712475,30.7734
Event 138712510,99.046
Event 138712600,42.434
Event 138712595,68.5881
Event 138712563,30.3911
Event 138712639,32.9184
Event 138712662,74.2537
Event 138712656,55.3414
Event 138712694,49.4707
Event 138712729,51.9224
Event 138712716,50.568
Event 138712760,20.415
Event 138712826,40.1883
Event 138712828,28.3006
Event 138712824,39.8026
Event 138712809,27.07
Event 138712905,29.412
Event 138712957,49.8841
Event 138712969,35.6173
Event 138713046,52.7925
Event 138713028,63.9574
Event 138713072,59.8598
Event 138713063,76.6661
Event 138713125,24.5314
Event 138713089,38.7174
Event 138713183,61.9458
Event 138713162,44.1693
Event 138713242,23.9519
Event 138713255,38.8788
Event 138713235,59.9651
Event 138713271,77.4076
Event 138713305,56.3309
Event 138713254,26.1118
Event 138713277,47.5813
Event 138713375,20.6206
Event 138713357,27.4605
Event 138713390,31.5005
Event 138713383,43.5003
Event 138713355,43.0195
Event 138713400,52.4177
Event 138713405,29.8258
Event 138713424,39.6966
Event 138713436,61.9786
Event 138713386,71.8854
Event 138713426,82.4304
Event 138713462,40.3748
Event 138713480,31.4185
Event 138713510,62.1316
Event 138713516,40.2575
Event 138713569,37.8545
Event 138713567,53.125
Event 138713558,24.4908
Event 138713573,41.4515
Event 138713582,70.666
Event 138713639,82.6231
Event 138713583,52.272
Event 138713629,26.3054
Event 138713615,59.2171
Event 138713711,45.0474
Event 138713788,49.5155
Event 138713753,57.944
Event 138713759,33.3903
Event 138713869,66.3262
Event 138713872,74.1077
Event 138713832,39.8841
Event 138713729,50.6254
Event 138713903,60.6348
Event 138713916,52.5042
Event 138714001,44.1152
Event 138713986,60.7125
Event 138714070,55.4716
Event 138714114,24.699
Event 138714145,38.5016
Event 138714138,38.115
Event 138714138,21.2545
Event 138714136,55.2585
Event 138714143,84.0271
Event 138714144,52.9427
Event 138714153,59.4153
Event 138714199,53.7241
Event 138714200,39.7528
Event 138714194,29.9424
Event 138714151,32.0207
Event 138714245,37.3248
Event 138714206,48.8388
Event 138714333,91.9291
Event 138714246,30.1883
Event 138714320,26.0308
Event 138714313,50.8961
Event 138714390,34.0551
Event 138714362,22.1955
Event 138714404,29.2834
Event 138714431,33.5559
Event 138714456,84.968
Event 138714441,50.1956
Event 138714466,38.5947
Event 138714518,25.4604
Event 138714558,75.8247
Event 138714597,52.6208
Event 138714616,82.5173
Event 138714573,28.1597
Event 138714631,30.4646
Event 138714680,31.4882
Event 138714667,47.9732
Event 138714665,29.7834
Event 138714742,33.3365
Event 138714737,46.6066
Event 138714736,56.6331
Event 138714770,25.2823
Event 138714779,75.4839
Event 138714787,72.547
Event 138714793,67.3965
Event 138714808,34.5267
Event 138714814,55.5166
Event 138714819,54.7682
Event 138714819,49.9658
Event 138714755,25.9904
Event 138714845,77.3803
Event 138714851,52.365
Event 138714861,25.768
Event 138714873,40.5084
Event 138714881,59.0545
Event 138714896,75.1295
Event 138714895,86.7792
Event 138715001,40.6619
Event 138715025,26.3933
Event 138715049,84.5699
Event 138715058,35.9948
Event 138715052,81.821
Event 138715012,29.8904
Event 138715048,37.1608
Event 138715095,42.3455
Event 138715102,25.2459
Event 138715116,33.8652
Event 138715113,36.8349
Event 138715083,21.1456
Event 138715128,47.609
Event 138715192,44.235
Event 138715198,54.3022
Event 138715235,23.9305
Event 138715248,59.5517
Event 138715215,21.9662
Event 138715272,49.0077
Event 138715292,36.1235
Event 138715296,46.8934
Event 138715283,20.9526
Event 138715303,46.5959
Event 138715325,50.7468
Event 138715320,30.8088
Event 138715387,71.1279
Event 138715447,30.0577
Event 138715335,26.9457
Event 138715463,74.2355
Event 138715503,68.7815
Event 138715523,43.2504
Event 138715535,52.6627
Event 138715558,66.8276
Event 138715563,52.6411
Event 138715478,35.4071
Event 138715618,67.6488
Event 138715622,39.5123
Event 138715645,35.6644
Event 138715660,43.8353
Event 138715647,21.8566
Event 138715657,45.0439
Event 138715633,50.6061
Event 138715674,37.1117
Event 138715706,72.7957
Event 138715724,36.1005
Event 138715739,26.2908
Event 138715747,40.7547
Event 138715805,35.8817
Event 138715809,38.5633
