Event #,Value only in UCSB
Event 138712510,2.6137
Event 138712595,2.64975
Event 138712563,-2.68315
Event 138712639,0.692524
Event 138712662,-0.672619
Event 138712694,-1.7154
Event 138712716,-1.2571
Event 138712760,1.36746
Event 138712826,-2.07287
Event 138712828,-1.80563
Event 138712824,1.36853
Event 138712809,-0.0897632
Event 138712905,1.75924
Event 138712969,-2.89471
Event 138713028,-2.85197
Event 138713072,-0.462163
Event 138713125,-2.27014
Event 138713089,-1.5576
Event 138713183,-2.14522
Event 138713162,0.71158
Event 138713242,-1.88519
Event 138713255,1.81972
Event 138713235,0.394901
Event 138713305,0.738845
Event 138713254,1.36407
Event 138713277,-1.24992
Event 138713375,2.49242
Event 138713390,2.8451
Event 138713383,-1.51813
Event 138713355,-0.149642
Event 138713424,-0.215768
Event 138713426,-1.76892
Event 138713462,-0.319506
Event 138713510,-1.43717
Event 138713516,-2.30476
Event 138713569,2.71743
Event 138713567,-1.84512
Event 138713558,2.84797
Event 138713573,0.245188
Event 138713582,-2.98601
Event 138713583,1.8446
Event 138713788,0.777878
Event 138713753,-0.234373
Event 138713759,-0.944111
Event 138713872,-0.220153
Event 138713832,-1.32822
Event 138713729,-2.53557
Event 138713903,-2.80733
Event 138713916,-0.0416247
Event 138714001,-1.96693
Event 138713986,0.969071
Event 138714070,2.53342
Event 138714145,2.54049
Event 138714138,-1.48417
Event 138714138,-0.988834
Event 138714136,1.31664
Event 138714143,1.21861
Event 138714144,-0.0259228
Event 138714153,-2.55781
Event 138714199,1.88942
Event 138714200,-0.0788962
Event 138714194,-1.2209
Event 138714151,-0.950748
Event 138714245,2.38604
Event 138714206,-0.728971
Event 138714246,2.62016
Event 138714320,3.07986
Event 138714313,-0.335235
Event 138714390,0.40285
Event 138714362,-1.1877
Event 138714404,0.0638293
Event 138714431,-2.36036
Event 138714456,1.00051
Event 138714466,2.9943
Event 138714518,2.53321
Event 138714597,0.730133
Event 138714616,-2.12999
Event 138714631,-0.562271
Event 138714680,-2.56053
Event 138714742,-1.18681
Event 138714737,-2.45273
Event 138714736,2.86934
Event 138714770,-0.115498
Event 138714787,-0.550984
Event 138714793,1.21233
Event 138714808,2.10787
Event 138714814,-2.26354
Event 138714819,0.0908244
Event 138714819,1.91551
Event 138714755,0.797051
Event 138714851,1.75237
Event 138714861,-0.5662
Event 138714873,-3.079
Event 138714881,2.54681
Event 138714896,0.0693891
Event 138714895,-1.17455
Event 138715001,0.710267
Event 138715025,-2.55779
Event 138715049,-2.32865
Event 138715058,0.266584
Event 138715052,1.72197
Event 138715012,-1.34771
Event 138715095,-1.46063
Event 138715116,-0.684686
Event 138715113,-1.08408
Event 138715083,-1.08082
Event 138715128,-1.25098
Event 138715192,-2.4829
Event 138715198,3.05829
Event 138715248,3.04663
Event 138715215,-1.15535
Event 138715272,-0.304892
Event 138715292,1.86713
Event 138715296,1.62278
Event 138715283,2.78776
Event 138715303,-0.584932
Event 138715325,-2.68525
Event 138715387,-2.7399
Event 138715335,0.804917
Event 138715503,2.71296
Event 138715535,-0.951595
Event 138715558,-1.30167
Event 138715478,-2.13833
Event 138715618,1.85157
Event 138715622,-1.05688
Event 138715660,-2.04322
Event 138715647,-0.730589
Event 138715657,0.0327713
Event 138715633,2.64094
Event 138715674,-1.64052
Event 138715706,-2.6508
Event 138715724,-1.07068
Event 138715739,-0.727446
Event 138715747,1.06009
Event 138715809,-2.14824
Event 138715869,1.00084
Event 138715782,-1.61786
Event 138715903,-1.26525
Event 138715904,1.00543
Event 138715921,3.10691
Event 138716006,-0.696557
Event 138716072,0.429335
Event 138716088,2.97551
Event 138716121,-1.93148
Event 138716152,-0.767988
Event 138716157,-0.578331
Event 138716245,-2.46174
Event 138716177,2.80081
Event 138716257,2.0912
Event 138716251,-2.5576
Event 138716232,1.10215
Event 138716208,-1.74305
Event 138716259,-0.542408
Event 138716276,-1.74643
Event 138716287,-0.143843
Event 138716302,0.99549
Event 138716307,-1.41187
Event 138716370,-1.77002
Event 138716390,0.318796
Event 138716409,2.27213
Event 138716378,-1.41368
Event 138716436,-0.820528
Event 138716493,2.45881
Event 138716496,-1.80641
Event 138716445,-0.478983
Event 138716530,-0.900075
Event 138716602,-2.21583
Event 138716613,0.914038
Event 138716710,0.378636
Event 138716769,0.557721
Event 138716786,2.51007
Event 138716787,0.191674
Event 138716789,0.631792
Event 138716776,2.49399
Event 138716827,-1.08546
Event 138716701,-2.82908
Event 138716823,0.214218
Event 138716820,-1.36957
Event 138716836,-0.282285
Event 138716909,-0.933601
Event 138716897,2.26467
Event 138716917,1.53398
Event 138716917,0.474785
Event 138716942,1.90635
Event 138716956,0.664298
Event 138716996,0.376994
Event 138717015,2.28345
Event 138717000,2.14604
Event 138717091,-1.60037
Event 138717119,1.43078
Event 138717021,1.42095
Event 138717153,2.21207
Event 138717192,2.37728
Event 138717170,2.21974
Event 138717204,-1.27611
Event 138717224,0.42301
Event 138717213,-2.68709
Event 138717235,0.599768
Event 138717300,-1.14064
Event 138717337,-0.050218
Event 138717321,-0.172292
Event 138717349,-2.30812
Event 138717461,-0.481199
Event 138717441,0.628265
Event 138717399,0.52478
Event 138717470,1.61481
Event 138717508,-0.591193
Event 138717472,-0.817682
Event 138717581,0.912048
Event 138717595,-0.337304
Event 138717650,-0.140834
Event 138717707,-2.9995
Event 138717741,1.0548
Event 138717762,-2.23299
Event 138717782,-1.78063
Event 138717844,-2.19495
Event 138717824,-1.614
Event 138717899,-2.25162
Event 138717910,0.371386
Event 138717940,-3.00263
Event 138717931,2.68196
Event 138717975,-2.32761
Event 138718002,-2.95561
Event 138718039,-2.4517
Event 138718023,2.79332
Event 138718069,-2.87591
Event 138718040,-0.79954
Event 138718088,2.33015
Event 138718054,-2.57305
Event 138718101,-0.642841
Event 138718149,-0.652196
Event 138718168,2.54551
Event 138718150,0.552398
Event 138718148,-1.57554
Event 138718164,-1.99007
Event 138718185,-1.79635
Event 138718205,-0.9039
Event 138718210,0.970091
Event 144733148,-0.192607
Event 144733134,1.97552
Event 144733275,2.5244
Event 144733353,1.41874
Event 144733354,-1.86406
Event 144733387,-0.589555
Event 144733391,3.06541
Event 144733406,3.08651
Event 144733419,-0.832069
Event 144733446,1.09912
Event 144733499,-1.7617
Event 144733457,-0.141468
Event 144733552,0.216343
Event 144733585,-2.99877
Event 144733559,-1.65885
Event 144733571,-1.93
Event 144733623,3.02835
Event 144733619,-1.23923
Event 144733636,-2.75945
Event 144733650,-0.0537326
Event 144733638,-0.947195
Event 144733672,1.41877
Event 144733654,-2.82769
Event 144733689,0.200427
Event 144733800,0.640441
Event 144733762,-2.49557
Event 144733816,-1.56424
Event 144733760,-2.43884
Event 144733820,-2.04559
Event 144733833,0.333465
Event 144733826,2.86209
Event 144733815,-2.99963
Event 144733878,0.445603
Event 144733909,-1.00539
Event 144733941,-2.70666
Event 144733918,1.07215
Event 144733955,-2.33016
Event 144733990,-1.92636
Event 144733932,1.06905
Event 144733913,-0.784355
Event 144734013,-0.398871
Event 144734119,-1.37589
Event 144734099,0.832231
Event 144734123,1.51358
Event 144734151,0.0150514
Event 144734270,1.53022
Event 144734261,0.478059
Event 144734319,-3.09348
Event 144734295,1.91075
Event 144734330,0.439711
Event 144734365,0.583873
Event 144734355,-1.80055
Event 144734343,0.876709
Event 144734399,0.304327
Event 144734476,0.53668
Event 144734493,0.693025
Event 144734427,0.228985
Event 144734492,0.71096
Event 144734505,-1.64273
Event 144734535,-1.24479
Event 144734541,-1.60627
Event 144734466,0.495873
Event 144734564,-1.65965
Event 144734546,-2.70942
Event 144734549,-3.11405
Event 144734615,1.44992
Event 144734654,-2.57512
Event 144734620,-1.06586
Event 144734764,2.4224
Event 144734709,2.07847
Event 144734739,1.96994
Event 144734848,-2.44727
Event 144734790,1.37793
Event 144734867,-0.0581561
Event 144734830,2.45511
Event 144734895,-2.41921
Event 144734880,-0.0691498
Event 144734902,2.1931
Event 144734885,-3.07977
Event 144734982,3.02653
Event 144735004,-0.171985
Event 144734992,1.93051
Event 144734986,-0.888388
Event 144735075,2.932
Event 144735074,1.40463
Event 144735077,2.44348
Event 144735121,-1.48387
Event 144735150,0.787175
Event 144735175,-3.00032
Event 144735183,0.285483
Event 144735203,1.48321
Event 144735254,-1.05732
Event 144735215,-1.0009
Event 144735326,2.64948
Event 144735353,-2.86065
Event 144735387,-0.911014
Event 144735407,1.90748
Event 144735439,0.563124
Event 144735533,-2.8283
Event 144735517,0.155505
Event 144735618,-0.289673
Event 144735622,0.238918
Event 144735732,2.22828
Event 144735680,-2.93152
Event 144735648,-0.751032
Event 144735773,-1.88612
Event 144735780,0.430924
Event 144735767,1.08802
Event 144735791,1.71949
Event 144735787,2.49018
Event 144735841,-0.386855
Event 144735879,-0.245461
Event 144735853,1.03844
Event 144735888,-0.637818
Event 144735946,-1.13212
Event 144735930,0.573777
Event 144735981,2.38005
Event 144735988,-0.510954
Event 144736024,-1.02039
Event 144736093,-2.93913
Event 144736139,0.243052
Event 144736109,-1.39077
Event 144736192,1.24188
Event 144736237,0.39245
Event 144736282,2.27055
Event 144736293,-1.98887
Event 144736286,-0.747944
Event 144736309,1.90538
