Event #,Value only in UCSB
Event 138712468,-0.165495
Event 138712481,0.609079
Event 138712459,-0.381368
Event 138712494,2.02871
Event 138712447,-0.698076
Event 138712475,1.21437
Event 138712514,2.22053
Event 138712526,2.90589
Event 138712483,2.11264
Event 138712542,3.00683
Event 138712537,0.270822
Event 138712467,-2.74443
Event 138712541,0.216979
Event 138712484,-2.67574
Event 138712543,-1.60359
Event 138712562,2.68946
Event 138712510,3.13498
Event 138712544,2.07534
Event 138712482,-0.749545
Event 138712561,-1.08363
Event 138712566,2.29572
Event 138712580,2.15268
Event 138712532,0.624967
Event 138712594,1.86703
Event 138712584,1.56253
Event 138712602,2.59655
Event 138712598,1.40558
Event 138712556,-2.99476
Event 138712600,-3.12684
Event 138712599,-0.140535
Event 138712595,1.17999
Event 138712575,1.76277
Event 138712563,2.34991
Event 138712603,-1.0853
Event 138712614,1.87975
Event 138712618,-1.85306
Event 138712606,-2.69095
Event 138712631,-2.26784
Event 138712625,-1.32515
Event 138712615,-1.63401
Event 138712607,-1.48628
Event 138712577,1.08276
Event 138712642,-1.34979
Event 138712589,0.95959
Event 138712639,-1.57591
Event 138712652,2.27153
Event 138712650,0.484153
Event 138712662,-1.5358
Event 138712653,3.12418
Event 138712656,2.55548
Event 138712641,-2.70983
Event 138712622,-2.74678
Event 138712689,1.03763
Event 138712626,0.442195
Event 138712672,2.63062
Event 138712648,2.96875
Event 138712697,2.01867
Event 138712705,-0.463453
Event 138712720,3.08984
Event 138712692,-0.624933
Event 138712694,-3.07043
Event 138712729,-2.31879
Event 138712710,2.13408
Event 138712685,2.07094
Event 138712691,-1.84414
Event 138712716,-0.10133
Event 138712738,2.26844
Event 138712730,0.755728
Event 138712760,2.00368
Event 138712754,-0.742063
Event 138712687,-2.42472
Event 138712756,2.10707
Event 138712728,-1.27839
Event 138712777,-1.6849
Event 138712770,1.26421
Event 138712791,1.12241
Event 138712731,2.09879
Event 138712782,2.06447
Event 138712778,0.336513
Event 138712745,2.69449
Event 138712788,-0.516866
Event 138712795,-0.426993
Event 138712764,2.54131
Event 138712808,2.03923
Event 138712751,0.989406
Event 138712772,0.11635
Event 138712826,0.950054
Event 138712828,-1.84388
Event 138712816,3.05732
Event 138712843,1.41791
Event 138712769,0.123551
Event 138712858,1.03287
Event 138712840,-0.948242
Event 138712874,-2.38731
Event 138712844,-1.56421
Event 138712824,-1.31131
Event 138712859,0.563753
Event 138712845,-2.61487
Event 138712885,2.04851
Event 138712860,0.291228
Event 138712884,-0.68108
Event 138712849,-1.94216
Event 138712809,0.247854
Event 138712855,-1.17184
Event 138712894,0.871119
Event 138712929,-0.510198
Event 138712905,2.91837
Event 138712908,1.98642
Event 138712892,-0.26206
Event 138712928,2.9621
Event 138712900,3.13224
Event 138712931,-0.795415
Event 138712901,0.6757
Event 138712787,2.88986
Event 138712945,-1.98036
Event 138712962,0.84949
Event 138712947,2.63528
Event 138712932,-0.533354
Event 138712957,1.06883
Event 138712946,-0.946436
Event 138712969,2.07074
Event 138712974,0.776081
Event 138712927,1.49373
Event 138712984,-0.256155
Event 138712971,2.58425
Event 138713006,3.09956
Event 138712955,3.00856
Event 138712978,-1.02202
Event 138713009,-1.65013
Event 138712996,-2.95618
Event 138713004,1.10223
Event 138712896,1.61607
Event 138712893,0.743708
Event 138713023,-2.63398
Event 138712973,2.32533
Event 138713033,-1.16803
Event 138712995,1.74127
Event 138713014,-0.773638
Event 138713047,-1.93628
Event 138713038,-0.0293916
Event 138713046,-0.980899
Event 138713026,-0.397063
Event 138713028,2.8357
Event 138713016,-2.83296
Event 138713060,-1.51564
Event 138713051,-2.70205
Event 138713055,0.0763438
Event 138713072,-0.835873
Event 138713092,1.70239
Event 138713063,-3.02117
Event 138713086,3.12025
Event 138712990,-0.44002
Event 138713064,-2.26889
Event 138713021,-0.677857
Event 138713115,-0.0365563
Event 138713085,-1.43766
Event 138713082,-0.532864
Event 138713077,0.833997
Event 138713123,0.673267
Event 138713136,2.09704
Event 138713139,1.2059
Event 138713067,2.37135
Event 138713125,2.2748
Event 138713087,1.33258
Event 138713089,0.0264522
Event 138713143,-2.59878
Event 138713156,-3.09061
Event 138713168,-0.786289
Event 138713117,-2.51693
Event 138713142,1.01119
Event 138713119,1.3087
Event 138713150,3.08983
Event 138713183,-3.02109
Event 138713184,2.50161
Event 138713200,0.917394
Event 138713124,2.32028
Event 138713186,2.86846
Event 138713178,0.952945
Event 138713202,-0.934203
Event 138713197,-0.0302641
Event 138713179,1.94026
Event 138713162,1.88435
Event 138713212,-2.09393
Event 138713219,-0.275625
Event 138713174,1.29429
Event 138713207,1.09371
Event 138713220,2.69185
Event 138713246,-0.421385
Event 138713208,1.71062
Event 138713237,1.19889
Event 138713222,1.17838
