Event #,Value only in UCSB
Event 138712468,97.1045
Event 138712481,83.1574
Event 138712459,41.1453
Event 138712494,22.6394
Event 138712447,13.8164
Event 138712475,78.072
Event 138712514,120.918
Event 138712526,45.8891
Event 138712483,102.638
Event 138712542,58.5128
Event 138712537,20.6844
Event 138712467,25.9227
Event 138712541,69.7035
Event 138712484,64.9253
Event 138712543,59.8722
Event 138712562,107.422
Event 138712510,85.7587
Event 138712544,81.6377
Event 138712482,95.4473
Event 138712561,45.3351
Event 138712566,138.294
Event 138712580,53.3557
Event 138712532,116.15
Event 138712594,93.7888
Event 138712584,116.705
Event 138712602,104.352
Event 138712598,25.8814
Event 138712556,128.949
Event 138712600,72.9114
Event 138712599,92.6332
Event 138712595,62.3846
Event 138712575,64.6241
Event 138712563,173.693
Event 138712603,63.1348
Event 138712614,54.2589
Event 138712618,87.3831
Event 138712606,84.0357
Event 138712631,77.5834
Event 138712625,41.0749
Event 138712615,40.7263
Event 138712607,84.5611
Event 138712577,20.33
Event 138712642,66.8853
Event 138712589,194.482
Event 138712639,40.0728
Event 138712652,128.44
Event 138712650,48.9084
Event 138712662,57.7478
Event 138712653,38.1751
Event 138712656,27.6153
Event 138712641,120.08
Event 138712622,72.4277
Event 138712689,63.5639
Event 138712626,53.7056
Event 138712672,89.2523
Event 138712648,187.049
Event 138712697,119.601
Event 138712705,67.7845
Event 138712720,117.864
Event 138712692,22.1124
Event 138712694,19.0702
Event 138712729,47.7314
Event 138712710,94.6033
Event 138712685,126.644
Event 138712691,77.2388
Event 138712716,107.081
Event 138712738,45.7478
Event 138712730,36.7292
Event 138712760,57.4001
Event 138712754,69.5692
Event 138712687,28.8742
Event 138712756,75.2298
Event 138712728,82.5286
Event 138712777,78.8449
Event 138712770,90.9421
Event 138712791,44.3317
Event 138712731,31.7286
Event 138712782,44.1966
Event 138712778,50.7549
Event 138712745,67.4254
Event 138712788,37.931
Event 138712795,17.5418
Event 138712764,91.7866
Event 138712808,79.2516
Event 138712751,240.627
Event 138712772,34.3654
Event 138712826,21.9326
Event 138712828,144.354
Event 138712816,134.463
Event 138712843,104.289
Event 138712769,84.9308
Event 138712858,76.3073
Event 138712840,91.85
Event 138712874,20.4354
Event 138712844,66.0406
Event 138712824,81.3382
Event 138712859,27.6258
Event 138712845,99.3604
Event 138712885,74.8744
Event 138712860,55.432
Event 138712884,88.1282
Event 138712849,87.2008
Event 138712809,47.9299
Event 138712855,26.1288
Event 138712894,126.426
Event 138712929,56.0699
Event 138712905,44.7313
Event 138712908,33.3544
Event 138712892,12.1079
Event 138712928,18.1495
Event 138712900,48.6958
Event 138712931,104.673
Event 138712901,40.6811
Event 138712787,34.9407
Event 138712945,67.7334
Event 138712962,120.705
Event 138712947,139.406
Event 138712932,18.4237
Event 138712957,59.2846
Event 138712946,74.5337
Event 138712969,28.9626
Event 138712974,74.6069
Event 138712927,108.877
Event 138712984,44.4029
Event 138712971,35.7901
Event 138713006,28.8671
Event 138712955,22.2175
Event 138712978,190.626
Event 138713009,112.659
Event 138712996,20.6585
Event 138713004,90.1837
Event 138712896,55.5662
Event 138712893,37.4113
Event 138713023,116.68
Event 138712973,111.005
Event 138713033,46.2784
Event 138712995,34.8067
Event 138713014,52.7847
Event 138713047,46.0421
Event 138713038,199.733
Event 138713046,17.1706
Event 138713026,44.9523
Event 138713028,68.0512
Event 138713016,94.8617
Event 138713060,72.7658
Event 138713051,95.3404
Event 138713055,34.442
Event 138713072,63.4171
Event 138713092,134.985
Event 138713063,64.4568
Event 138713086,85.0032
Event 138712990,73.7009
Event 138713064,21.3031
Event 138713021,71.9061
Event 138713115,18.9009
Event 138713085,144.939
Event 138713082,25.9686
Event 138713077,48.8461
Event 138713123,57.1564
Event 138713136,41.1404
Event 138713139,129.105
Event 138713067,31.4128
Event 138713125,71.2715
Event 138713087,220.755
Event 138713089,36.1551
Event 138713143,94.0465
Event 138713156,37.1775
Event 138713168,117.71
Event 138713117,63.0139
Event 138713142,7.34189
Event 138713119,13.6189
Event 138713150,25.2246
Event 138713183,14.2445
Event 138713184,36.1662
Event 138713200,44.8797
Event 138713124,107.808
Event 138713186,78.0869
Event 138713178,162.846
Event 138713202,32.1135
Event 138713197,82.2143
Event 138713179,91.9022
Event 138713162,55.4838
Event 138713212,82.0932
Event 138713219,72.4663
Event 138713174,68.7576
Event 138713207,56.986
Event 138713220,55.9649
Event 138713246,100.217
Event 138713208,92.162
Event 138713237,92.4168
Event 138713222,193.274
Event 138713242,27.8988
Event 138713255,21.5771
Event 138713236,36.2368
Event 138713245,85.7445
Event 138713235,210.278
Event 138713240,65.4733
Event 138713221,63.2083
Event 138713265,30.2779
Event 138713271,96.0577
Event 138713281,131.18
Event 138713258,110.884
Event 138713301,98.2941
Event 138713252,137.133
Event 138713278,105.773
Event 138713287,79.0471
Event 138713305,44.5307
Event 138713303,42.3194
Event 138713309,101.233
Event 138713268,45.8097
Event 138713314,86.195
Event 138713254,62.3311
Event 138713345,59.2134
Event 138713325,38.8684
Event 138713112,117.59
Event 138713324,42.823
Event 138713277,85.6288
Event 138713344,72.6885
Event 138713327,96.0089
Event 138713352,90.2586
Event 138713312,46.9351
Event 138713304,228.876
Event 138713288,108.01
Event 138713375,22.7585
Event 138713384,44.9931
Event 138713357,21.2944
Event 138713390,44.1859
Event 138713383,51.4196
Event 138713389,34.7052
Event 138713393,69.9832
Event 138713406,31.8007
Event 138713409,8.22815
Event 138713355,40.8632
Event 138713400,27.4711
Event 138713405,44.8704
Event 138713407,82.1597
Event 138713328,45.6447
Event 138713424,63.4419
Event 138713436,80.5717
Event 138713386,20.9117
Event 138713425,60.5717
Event 138713426,107.488
Event 138713417,31.5825
