Event #,Value only in UCSB
Event 138712510,-1.69707
Event 138712595,-1.18867
Event 138712563,-0.317555
Event 138712639,-1.47231
Event 138712662,-0.67351
Event 138712694,0.00293578
Event 138712716,0.0834569
Event 138712826,1.57334
Event 138712824,1.17102
Event 138712809,-0.429778
Event 138712905,-1.06945
Event 138712969,-0.409844
Event 138713028,-0.520104
Event 138713072,2.11303
Event 138713125,0.0238862
Event 138713089,1.48248
Event 138713183,2.32687
Event 138713162,-0.987411
Event 138713242,0.774214
Event 138713235,-0.919195
Event 138713305,1.11724
Event 138713277,0.21287
Event 138713375,0.808785
Event 138713390,-1.00481
Event 138713355,-0.460405
Event 138713424,0.32322
Event 138713426,0.248526
Event 138713462,1.9284
Event 138713510,-0.938215
Event 138713516,-0.632072
Event 138713569,0.787522
Event 138713567,-0.099332
Event 138713573,1.27548
Event 138713582,-1.04579
Event 138713583,-1.98525
Event 138713788,-0.698511
Event 138713759,-1.02124
Event 138713872,0.508455
Event 138713832,-0.69258
Event 138713729,0.33981
Event 138713903,-1.98192
Event 138713916,1.01744
Event 138714001,0.0899527
Event 138713986,-1.19262
Event 138714070,-1.59125
Event 138714145,0.584481
Event 138714138,-1.16028
Event 138714138,1.59014
Event 138714136,-1.17849
Event 138714143,1.16617
Event 138714144,-0.150791
Event 138714153,-1.366
Event 138714199,1.20343
Event 138714200,0.075526
Event 138714194,0.589772
Event 138714206,-2.05318
Event 138714246,1.4318
Event 138714313,1.40129
Event 138714390,-1.04918
Event 138714362,0.637302
Event 138714431,0.818747
Event 138714456,0.739843
Event 138714466,-1.55775
Event 138714518,-1.99573
Event 138714616,-1.36315
Event 138714631,0.400446
Event 138714680,-0.644562
Event 138714742,-0.380673
Event 138714737,2.15607
Event 138714736,-1.59308
Event 138714770,-2.26456
Event 138714787,-0.444742
Event 138714793,-1.26249
Event 138714808,0.00478528
Event 138714814,1.20595
Event 138714819,0.742669
Event 138714755,-1.05326
Event 138714851,0.0247755
Event 138714873,-1.57134
Event 138714881,0.770544
Event 138714895,-2.15188
Event 138715001,-2.35224
Event 138715049,-1.64146
Event 138715058,-1.05681
Event 138715012,-0.914566
Event 138715095,0.880815
Event 138715116,-0.55813
Event 138715113,1.23255
Event 138715083,0.0727203
Event 138715128,-0.702483
Event 138715192,0.0475336
Event 138715198,1.08116
Event 138715248,0.593226
Event 138715272,-0.333251
Event 138715292,0.303807
Event 138715296,-0.784841
Event 138715283,-0.0673571
Event 138715325,-2.48317
Event 138715387,-0.987429
Event 138715335,-0.645725
Event 138715503,0.799788
Event 138715535,0.361602
Event 138715478,-1.72611
Event 138715618,0.0966296
Event 138715622,-2.27667
Event 138715660,0.751325
Event 138715647,2.04016
Event 138715633,-0.161236
