Event #,Value only in UCSB
Event 138712510,99.046
Event 138712595,68.5881
Event 138712563,30.3911
Event 138712639,32.9184
Event 138712662,74.2537
Event 138712694,49.4707
Event 138712716,50.568
Event 138712826,40.1883
Event 138712824,39.8026
Event 138712809,27.07
Event 138712905,29.412
Event 138712969,35.6173
Event 138713028,63.9574
Event 138713072,59.8598
Event 138713125,24.5314
Event 138713089,38.7174
Event 138713183,61.9458
Event 138713162,44.1693
Event 138713242,23.9519
Event 138713235,59.9651
Event 138713305,56.3309
Event 138713277,47.5813
Event 138713375,20.6206
Event 138713390,31.5005
Event 138713355,43.0195
Event 138713424,39.6966
Event 138713426,82.4304
Event 138713462,40.3748
Event 138713510,62.1316
Event 138713516,40.2575
Event 138713569,37.8545
Event 138713567,53.125
Event 138713573,41.4515
Event 138713582,70.666
Event 138713583,52.272
Event 138713788,49.5155
Event 138713759,33.3903
Event 138713872,74.1077
Event 138713832,39.8841
Event 138713729,50.6254
Event 138713903,60.6348
Event 138713916,52.5042
Event 138714001,44.1152
Event 138713986,60.7125
Event 138714070,55.4716
Event 138714145,38.5016
Event 138714138,38.115
Event 138714138,21.2545
Event 138714136,55.2585
Event 138714143,84.0271
Event 138714144,52.9427
Event 138714153,59.4153
Event 138714199,53.7241
Event 138714200,39.7528
Event 138714194,29.9424
Event 138714206,48.8388
Event 138714246,30.1883
Event 138714313,50.8961
Event 138714390,34.0551
Event 138714362,22.1955
Event 138714431,33.5559
Event 138714456,84.968
Event 138714466,38.5947
Event 138714518,25.4604
Event 138714616,82.5173
Event 138714631,30.4646
Event 138714680,31.4882
Event 138714742,33.3365
Event 138714737,46.6066
Event 138714736,56.6331
Event 138714770,25.2823
Event 138714787,72.547
Event 138714793,67.3965
Event 138714808,34.5267
Event 138714814,55.5166
Event 138714819,49.9658
Event 138714755,25.9904
Event 138714851,52.365
Event 138714873,40.5084
Event 138714881,59.0545
Event 138714895,86.7792
Event 138715001,40.6619
Event 138715049,84.5699
Event 138715058,35.9948
Event 138715012,29.8904
Event 138715095,42.3455
Event 138715116,33.8652
Event 138715113,36.8349
Event 138715083,21.1456
Event 138715128,47.609
Event 138715192,44.235
Event 138715198,54.3022
Event 138715248,59.5517
Event 138715272,49.0077
Event 138715292,36.1235
Event 138715296,46.8934
Event 138715283,20.9526
Event 138715325,50.7468
Event 138715387,71.1279
Event 138715335,26.9457
Event 138715503,68.7815
Event 138715535,52.6627
Event 138715478,35.4071
Event 138715618,67.6488
Event 138715622,39.5123
Event 138715660,43.8353
Event 138715647,21.8566
Event 138715633,50.6061
Event 138715674,37.1117
Event 138715706,72.7957
Event 138715739,26.2908
Event 138715747,40.7547
Event 138715809,38.5633
Event 138715869,30.545
Event 138715782,56.9832
Event 138715903,29.5155
Event 138715921,96.295
Event 138716006,39.2633
Event 138716072,74.3058
Event 138716088,25.6418
Event 138716152,50.5727
Event 138716245,24.9501
Event 138716177,57.6991
Event 138716257,42.1307
Event 138716251,85.9945
Event 138716232,27.4686
Event 138716208,24.8495
Event 138716259,55.1927
Event 138716276,32.5369
Event 138716302,36.0847
Event 138716370,81.3125
Event 138716409,24.5231
Event 138716378,98.2073
Event 138716436,76.5903
Event 138716496,23.8402
Event 138716530,25.5494
Event 138716602,20.5893
Event 138716613,78.4009
Event 138716710,81.95
Event 138716769,26.9871
Event 138716786,57.2381
Event 138716787,22.9237
Event 138716789,32.8774
Event 138716827,65.1679
Event 138716701,68.4482
Event 138716823,59.4676
Event 138716820,85.4248
Event 138716836,35.5806
Event 138716897,26.2284
Event 138716917,50.1387
Event 138716917,41.091
Event 138716942,31.927
Event 138716956,44.6219
Event 138716996,30.6138
Event 138717015,36.295
Event 138717000,48.694
Event 138717119,79.3229
Event 138717021,72.8778
Event 138717192,75.9369
Event 138717170,57.0016
Event 138717204,73.4413
Event 138717224,33.9661
Event 138717213,21.5605
Event 138717300,61.6157
Event 138717337,87.9276
Event 138717377,122.141
Event 138717321,46.2286
Event 138717349,44.5511
Event 138717461,60.2817
Event 138717441,91.3666
Event 138717470,40.9947
Event 138717508,37.675
Event 138717472,24.1202
Event 138717581,53.4615
Event 138717650,42.1943
Event 138717707,49.062
Event 138717741,43.1684
Event 138717762,33.2558
Event 138717782,25.8768
Event 138717844,27.5329
Event 138717910,48.6528
Event 138717940,38.0207
Event 138717931,36.2233
Event 138717975,29.596
Event 138718002,76.2926
Event 138718039,21.167
Event 138718023,73.0997
Event 138718069,42.3201
Event 138718040,38.8741
Event 138718088,52.1417
Event 138718054,84.867
Event 138718149,34.8388
Event 138718168,69.7281
Event 138718150,38.0854
Event 138718148,68.1623
